molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,display_reference_Ha,display_RHF,display_FCI,display_unit
LiH,29,1.741744001826107,0.23093275114842693,-7.854423006281625,-7.8773496670528385,-0.022926660771213747,-22.926660771213747,-7.86338212892119,8.95912263956511,-13.967538131648638,mHa
LiH,30,1.7588501315408054,0.2480388808631253,-7.853198638126461,-7.87650314061955,-0.023304502493089352,-23.304502493089352,-7.86338212892119,10.183490794728911,-13.12101169836044,mHa
HF,1,0.8017909532112666,-0.15367174522172344,-98.53077195104531,-98.54893506402632,-0.01816311298101425,-18.16311298101425,-98.57284734716004,42.07539611472555,23.9122831337113,mHa
HF,2,0.8123890046058682,-0.14307369382712187,-98.5372226610317,-98.55600372929977,-0.018781068268069134,-18.781068268069134,-98.57284734716004,35.624686128329586,16.84361786026045,mHa
HF,3,0.8229870560004698,-0.1324756424325202,-98.54300636110256,-98.56242196019979,-0.01941559909722912,-19.41559909722912,-98.57284734716004,29.840986057479313,10.425386960250194,mHa
HF,4,0.8335851073950714,-0.12187759103791862,-98.54816362520772,-98.56823067516072,-0.020067049952999128,-20.067049952999128,-98.57284734716004,24.683721952314386,4.616671999315258,mHa
HF,5,0.8441831587896731,-0.11127953964331694,-98.55273226900877,-98.57346803060989,-0.020735761601116565,-20.735761601116565,-98.57284734716004,20.115078151263788,-0.6206834498527769,mHa
HF,6,0.8547812101842747,-0.10068148824871537,-98.5567475906805,-98.57816966157483,-0.02142207089433157,-21.42207089433157,-98.57284734716004,16.099756479533767,-5.322314414797802,mHa
HF,7,0.8653792615788762,-0.0900834368541138,-98.56024258869071,-98.58236889920802,-0.022126310517307957,-22.126310517307957,-98.57284734716004,12.604758469322519,-9.521552047985438,mHa
HF,8,0.8759773129734779,-0.07948538545951211,-98.5632481583049,-98.58609696697832,-0.022848808673415988,-22.848808673415988,-98.57284734716004,9.599188855133889,-13.249619818282099,mHa
HF,9,0.8865753643680795,-0.06888733406491054,-98.56579326849617,-98.58938315721211,-0.023589888715946472,-23.589888715946472,-98.57284734716004,7.0540786638702,-16.535810052076272,mHa
HF,10,0.8971734157626812,-0.05828928267030886,-98.56790512087258,-98.59225498960559,-0.024349868733011704,-24.349868733011704,-98.57284734716004,4.942226287454332,-19.40764244555737,mHa
HF,11,0.9077714671572827,-0.04769123127570729,-98.56960929217641,-98.5947383532689,-0.025129061092485472,-25.129061092485472,-98.57284734716004,3.2380549836261707,-21.8910061088593,mHa
HF,12,0.9183695185518843,-0.03709317988110572,-98.57092986182637,-98.59685763378316,-0.025927771956787637,-25.927771956787637,-98.57284734716004,1.9174853336636488,-24.01028662312399,mHa
HF,13,0.928967569946486,-0.026495128486504038,-98.57188952591669,-98.59863582669291,-0.02674630077622453,-26.74630077622453,-98.57284734716004,0.957821243346757,-25.788479532877773,mHa
HF,14,0.9395656213410876,-0.015897077091902467,-98.57250969899914,-98.60009463877299,-0.027584939773845463,-27.584939773845463,-98.57284734716004,0.3376481608938775,-27.247291612951585,mHa
HF,15,0.9501636727356892,-0.005299025697300785,-98.57281060490803,-98.60125457833793,-0.028443973429901348,-28.443973429901348,-98.57284734716004,0.036742252007115894,-28.407231177894232,mHa
HF,16,0.9607617241302908,0.005299025697300785,-98.572811357801,-98.60213503577934,-0.0293236779783399,-29.3236779783399,-98.57284734716004,0.035989359034260815,-29.28768861930564,mHa
