molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FE,28,test,15,500,0.000923592715716919,0.923592715716919,0.0015575732230461122,1.5575732230461121,0.004753717588349582,4.753717588349582,0.005624423458289812,5.6244234582898125
CO,FE,29,train,15,484,0.0016265599896185979,1.6265599896185978,0.0020325886213739077,2.032588621373908,0.004364337006224128,4.364337006224128,0.008232619781764927,8.232619781764928
CO,FE,29,test,15,484,0.0015780077614273265,1.5780077614273265,0.0020880305319453305,2.0880305319453303,0.0058031176970904375,5.803117697090437,0.00810962980863672,8.10962980863672
CO,FE,30,train,15,469,0.00195727805370061,1.9572780537006103,0.0024088264581734868,2.4088264581734866,0.005426444958734483,5.426444958734483,0.009980431010635088,9.980431010635089
CO,FE,30,test,15,469,0.0018243666756336153,1.8243666756336152,0.0022894735550429684,2.2894735550429686,0.005983462865209677,5.983462865209677,0.008522942519318316,8.522942519318317
CO,FE,31,train,15,491,0.0016693670540463372,1.6693670540463372,0.002100836293297294,2.100836293297294,0.0046289874228384875,4.628987422838487,0.0084728343098385,8.4728343098385
CO,FE,31,test,15,491,0.0016291507463590518,1.6291507463590518,0.0021829977047224587,2.1829977047224585,0.0060760364372766384,6.076036437276638,0.008332455278562828,8.332455278562827
CO,MB-1,1,train,15,480,0.0005161942579058322,0.5161942579058322,0.0006287141631297229,0.6287141631297228,0.001368510372523113,1.368510372523113,0.0019300789142314423,1.9300789142314423
CO,MB-1,1,test,15,480,0.0005385980537012151,0.538598053701215,0.0006718336758292523,0.6718336758292524,0.0016483909040020395,1.6483909040020395,0.0022048404459000803,2.2048404459000803
CO,MB-1,2,train,15,488,0.0006866414839852684,0.6866414839852684,0.0008447777287738288,0.8447777287738288,0.0018031358003905984,1.8031358003905984,0.0025059094473310894,2.5059094473310894
CO,MB-1,2,test,15,488,0.0007070302771747934,0.7070302771747934,0.0008894024482366042,0.8894024482366042,0.0021524224319861007,2.1524224319861007,0.0028546638308241112,2.8546638308241112
CO,MB-1,3,train,15,491,0.0005295446394875067,0.5295446394875067,0.0006427629165590167,0.6427629165590166,0.0013607733449326198,1.3607733449326198,0.0019565053667098264,1.9565053667098264
CO,MB-1,3,test,15,491,0.0005541571121891816,0.5541571121891815,0.0006823970860090806,0.6823970860090806,0.0016520560915772031,1.6520560915772031,0.00223852817297282,2.23852817297282
CO,MB-1,4,train,15,483,0.0005885219851036803,0.5885219851036804,0.0007131916181635859,0.7131916181635859,0.0014777069742325788,1.4777069742325788,0.0021357418948278195,2.1357418948278193
CO,MB-1,4,test,15,483,0.000611370424324816,0.611370424324816,0.0007495950855840321,0.7495950855840321,0.0017867621808910772,1.7867621808910772,0.0024374499439559494,2.4374499439559494
CO,MB-1,5,train,15,488,0.0006637982642416653,0.6637982642416653,0.0008263484282060236,0.8263484282060236,0.001933059025478412,1.933059025478412,0.002586072910918835,2.586072910918835
CO,MB-1,5,test,15,488,0.0006966266589701324,0.6966266589701323,0.0009017306642750985,0.9017306642750985,0.0022928998608684747,2.2928998608684745,0.0029531879425628016,2.953187942562802
CO,MB-1,6,train,15,498,0.0005766317311976817,0.5766317311976817,0.0006931451187657528,0.6931451187657528,0.0014229737998625036,1.4229737998625036,0.0020961249804856696,2.0961249804856696
CO,MB-1,6,test,15,498,0.0006011630275952918,0.6011630275952917,0.0007301708077694018,0.7301708077694018,0.001731046227751637,1.731046227751637,0.002394876631413828,2.394876631413828
CO,MB-1,7,train,15,500,0.006921252367964091,6.921252367964091,0.008014517770612269,8.014517770612269,0.01403359078308386,14.03359078308386,0.025882202372376623,25.88220237237662
CO,MB-1,7,test,15,500,0.007045134452597334,7.045134452597335,0.008205930449647883,8.205930449647884,0.015077134724699015,15.077134724699015,0.026113432226687522,26.11343222668752
CO,MB-1,8,train,15,500,0.0005254558601824906,0.5254558601824907,0.0006339070069318918,0.6339070069318917,0.0013061332240161816,1.3061332240161816,0.001918412296431915,1.918412296431915
CO,MB-1,8,test,15,500,0.000549844076340339,0.5498440763403389,0.000668942283938083,0.668942283938083,0.0015917684318183523,1.5917684318183523,0.002195425428569042,2.195425428569042
CO,MB-1,9,train,15,496,0.000679255065280096,0.679255065280096,0.0008171642218072012,0.8171642218072012,0.001671578980990851,1.671578980990851,0.0024366157469256633,2.4366157469256633
CO,MB-1,9,test,15,496,0.0007002494163370694,0.7002494163370694,0.0008544090188414422,0.8544090188414422,0.002013781182662433,2.013781182662433,0.002775499093351619,2.775499093351619
CO,MB-1,10,train,15,494,0.0005521857053690793,0.5521857053690793,0.0006730021071929271,0.6730021071929271,0.0014588192110917275,1.4588192110917275,0.002061672511208007,2.061672511208007
CO,MB-1,10,test,15,494,0.0005769384755294649,0.5769384755294649,0.0007184332461250877,0.7184332461250877,0.0017598747642917356,1.7598747642917356,0.0023559702648060232,2.3559702648060235
CO,MB-1,11,train,15,499,0.0007056424882317114,0.7056424882317114,0.0009090867033940847,0.9090867033940847,0.0023273162925949165,2.3273162925949165,0.0030921267613854553,3.0921267613854555
CO,MB-1,11,test,15,499,0.0007809714994042187,0.7809714994042187,0.0010451671193153198,1.0451671193153198,0.0027060752665298837,2.7060752665298837,0.003477722753226553,3.477722753226553
CO,MB-1,12,train,15,499,0.000592003322622664,0.592003322622664,0.000733514465821602,0.733514465821602,0.0017758562840365921,1.7758562840365921,0.0023846988566866845,2.3846988566866845
CO,MB-1,12,test,15,499,0.000623959203225366,0.623959203225366,0.0008157255092905099,0.8157255092905099,0.0021053245930777453,2.1053245930777456,0.0027237641202245977,2.7237641202245975
CO,MB-1,13,train,15,499,0.0006306473027448522,0.6306473027448523,0.0008165683783864171,0.816568378386417,0.002093346696136339,2.093346696136339,0.0027398917581895055,2.7398917581895055
